Organism,Sequencing platform,Chemistry,Probe,Replicate,Yield,Raw reads,De-duplicated reads,Duplication (%),ARG On-target (%),MGE On-target (%)
Bovine,TELSeq,V2,ARG,A,5.143803,9104,9102,0.0,0.0,0.4
Bovine,TELSeq,V2,ARG,B,8.150391,14243,14242,0.0,0.0,0.3
Bovine,TELSeq,V2,ARG,C,7.607464,12662,12659,0.0,0.0,0.1
Bovine,TELSeq,V2,Combo,A,7.184456,12488,12477,0.1,3.9,3.2
Bovine,TELSeq,V2,Combo,B,144.056409,241033,231874,3.8,4.2,5.5
Bovine,TELSeq,V2,Combo,C,14.659051,25256,25163,0.4,5.1,4.2
Bovine,TELSeq,V2,MGE,A,14.029268,24998,24866,0.5,6.2,0.2
Bovine,TELSeq,V2,MGE,B,10.246041,21603,21471,0.6,6.6,0.1
Bovine,TELSeq,V2,MGE,C,16.283448,32070,31955,0.4,4.7,0.1
Bovine,PacBio,V2,__,A,150.190292,38050,38044,0.0,0.1,1.0
Bovine,PacBio,V2,__,B,116.948419,32975,32966,0.0,0.1,1.0
Bovine,PacBio,V2,__,C,85.503671,21817,21815,0.0,0.2,1.0
Bovine,TELSeq,XT,ARG,A,57.257221,70309,68056,3.2,12.5,5.2
Bovine,TELSeq,XT,ARG,B,61.821758,80562,74898,7.0,12.1,5.3
Bovine,TELSeq,XT,ARG,C,136.002719,142793,123302,13.6,16.5,15.3
Bovine,TELSeq,XT,Combo,A,133.897391,96778,95704,1.1,12.5,14.8
Bovine,TELSeq,XT,Combo,B,22.126429,21675,21332,1.6,17.1,6.8
Bovine,TELSeq,XT,Combo,C,11.881545,15328,15138,1.2,16.5,5.5
Bovine,TELSeq,XT,MGE,A,15.110871,23482,23444,0.2,2.1,0.5
Bovine,TELSeq,XT,MGE,B,44.598055,51520,48399,6.1,17.0,6.4
Bovine,TELSeq,XT,MGE,C,72.935631,79958,71657,10.4,17.2,7.8
Bovine,PacBio,XT,__,A,182.438209,38766,38760,0.0,0.2,1.1
Bovine,PacBio,XT,__,B,163.378715,51115,51101,0.0,0.2,1.0
Bovine,PacBio,XT,__,C,114.901993,35931,35925,0.0,0.2,0.9
Human,TELSeq,V2,ARG,A,5.709197,7015,7014,0.0,0.2,0.7
Human,TELSeq,V2,ARG,B,2.898654,5033,5032,0.0,0.0,0.1
Human,TELSeq,V2,ARG,C,5.727894,11420,11417,0.0,0.0,0.2
Human,TELSeq,V2,Combo,A,37.446931,70960,70562,0.6,0.9,16.3
Human,TELSeq,V2,Combo,B,42.317819,77716,77070,0.8,0.9,18.8
Human,TELSeq,V2,Combo,C,20.768278,40248,40146,0.3,0.9,19.0
Human,TELSeq,V2,MGE,A,12.798347,24819,24730,0.4,1.1,25.0
Human,TELSeq,V2,MGE,B,14.929213,29227,29128,0.3,1.1,25.7
Human,TELSeq,V2,MGE,C,21.624532,39780,39506,0.7,1.1,26.1
Human,PacBio,V2,__,A,332.481543,87232,87003,0.3,0.1,2.9
Human,PacBio,V2,__,B,112.713795,30203,30186,0.1,0.1,2.9
Human,PacBio,V2,__,C,114.638315,29023,28993,0.1,0.1,2.6
Human,TELSeq,XT,ARG,A,136.027289,149001,139417,6.4,11.7,10.5
Human,TELSeq,XT,ARG,B,147.027921,147688,144706,2.0,6.6,8.9
Human,TELSeq,XT,ARG,C,82.970754,86647,83745,3.3,9.9,10.6
Human,TELSeq,XT,Combo,A,19.88828,19683,19449,1.2,2.3,57.1
Human,TELSeq,XT,Combo,B,14.50299,16943,16818,0.7,3.0,50.4
