GENE,TYPE,
Col(VCM04)_1__HM231165,PLASMID,
gene:plasmid:10467,TE,
gene:plasmid:10482,PLASMID,
gene:plasmid:10486,PLASMID,
gene:plasmid:10501,PLASMID,
gene:plasmid:10502,IS,
gene:plasmid:10533,PLASMID,
gene:plasmid:10543,PLASMID,
gene:plasmid:10565,AMR,
gene:plasmid:10566,AMR,
gene:plasmid:10570,AMR,
gene:plasmid:10634,PLASMID,
gene:plasmid:10636,PLASMID,
gene:plasmid:10669,PLASMID,
gene:plasmid:10673,PLASMID,
gene:plasmid:10686,PLASMID,
gene:plasmid:10692,PLASMID,
gene:plasmid:10697,PLASMID,
gene:plasmid:10728,PLASMID,
gene:plasmid:10729,PLASMID,
gene:plasmid:10730,PLASMID,
gene:plasmid:10731,PLASMID,
gene:plasmid:10754,PLASMID,
gene:plasmid:10797,PLASMID,
gene:plasmid:10837,PLASMID,
gene:plasmid:10838,PLASMID,
gene:plasmid:10902,PLASMID,
gene:plasmid:10903,PLASMID,
gene:plasmid:10904,PLASMID,
gene:plasmid:109133,PLASMID,
gene:plasmid:109146,PLASMID,
gene:plasmid:109147,PLASMID,
gene:plasmid:109210,IS,
gene:plasmid:109211,IS,
gene:plasmid:109289,TE,
gene:plasmid:109300,PLASMID,
gene:plasmid:109301,PLASMID,
gene:plasmid:109319,PLASMID,
gene:plasmid:10932,PLASMID,
gene:plasmid:109325,PLASMID,
gene:plasmid:109334,PLASMID,
gene:plasmid:109340,PLASMID,
gene:plasmid:109341,PLASMID,
gene:plasmid:109342,PLASMID,
gene:plasmid:109343,PLASMID,
gene:plasmid:109344,PLASMID,
gene:plasmid:109346,PLASMID,
gene:plasmid:109347,PLASMID,
gene:plasmid:109348,PLASMID,
gene:plasmid:109349,PLASMID,
gene:plasmid:109350,PLASMID,
gene:plasmid:109351,PLASMID,
gene:plasmid:109353,PLASMID,
gene:plasmid:109354,PLASMID,
gene:plasmid:109355,PLASMID,
gene:plasmid:109356,PLASMID,
gene:plasmid:109360,PLASMID,
gene:plasmid:109361,PLASMID,
gene:plasmid:109369,PLASMID,
gene:plasmid:10937,PLASMID,
gene:plasmid:109371,PLASMID,
gene:plasmid:109372,PLASMID,
gene:plasmid:109377,PLASMID,
gene:plasmid:109378,PLASMID,
gene:plasmid:109379,PLASMID,
gene:plasmid:109382,PLASMID,
gene:plasmid:109383,PLASMID,
gene:plasmid:109385,PLASMID,
