ACCESSION,CLASS,MGE NAME,ORGANISMS
ICEberg|217|ICEBat1942-1|GenBank|CP002207|4164708..4168266,ICE,ICEBat1942-1,Bacillus atrophaeus 1942
ICEberg|2|CTn341|GenBank|AY515263|1..51993,ICE,CTn341,Bacteroides fragilis
ICEberg|12|ICEVchBan5|GenBank|GQ463140|1..102122,ICE,ICEVchBan5,Vibrio cholerae Ban5
ICEberg|16|ICEVchBan9|GenBank|CP001485|2958347..3066049,ICE,ICEVchBan9,Vibrio cholerae MJ-1236
ICEberg|21|ICEVchInd4|GenBank|GQ463141|1..95326,ICE,ICEVchInd4,Vibrio cholerae Ind4
ICEberg|22|ICEVchInd5|GenBank|GQ463142|1..97952,ICE,ICEVchInd5,Vibrio cholerae Ind5
ICEberg|23|ICEVchMex1|GenBank|GQ463143|1..83194,ICE,ICEVchMex1,Vibrio cholerae Mex1
ICEberg|36|ICEVflInd1|GenBank|GQ463144|1..114195,ICE,ICEVflInd1,Vibrio fluvialis Ind1
ICEberg|37|ICEPalBan1|GenBank|GQ463139|1..96676,ICE,ICEPalBan1,Providencia alcalifaciens Ban1
ICEberg|38|ICEPdaSpa1|GenBank|AJ870986|1..102985,ICE,ICEPdaSpa1,Photobacterium damselae subsp. piscicida
ICEberg|39|ICESpuPO1|GenBank|CP000503|1224492..1335682,ICE,ICESpuPO1,Shewanella sp. W3-18-1
ICEberg|43|R391|GenBank|AY090559|1..88532,ICE,R391,Providencia rettgeri
ICEberg|44|SXT(MO10)|GenBank|AY055428|1..99483,ICE,SXT(MO10),Vibrio cholerae
ICEberg|45|Tn916|GenBank|U09422|1..18032,ICE,Tn916,Enterococcus faecalis
ICEberg|46|Tn4371|GenBank|AJ536756|1..54657,ICE,Tn4371,Cupriavidus oxalaticus
ICEberg|47|Tn5251(partofTn5253)|GenBank|FJ711160|1..18033,ICE,Tn5251(partofTn5253),Streptococcus pneumoniae
ICEberg|48|ICEBxeLB400-1|GenBank|CP000270|3559420..3682252,ICE,ICEBxeLB400-1,Paraburkholderia xenovorans LB400
ICEberg|49|ICECmeCH34-1|GenBank|CP000352|2508632..2618212,ICE,ICECmeCH34-1,Cupriavidus metallidurans CH34
ICEberg|50|ICEXcaVe85-1|GenBank|AM039952|2631723..2740954,ICE,ICEXcaVe85-1,Xanthomonas campestris pv. vesicatoria str. 85-10
ICEberg|51|ICEXcaCa8004-1|GenBank|CP000050|2414505..2513449,ICE,ICEXcaCa8004-1,Xanthomonas campestris pv. campestris str. 8004
