GENE,TYPE,DATABASE
Col(VCM04)_1__HM231165,PLASMID,PlasmidFinder
gene:plasmid:10467,TE,ACLAME
gene:plasmid:10482,PLASMID,ACLAME
gene:plasmid:10486,PLASMID,ACLAME
gene:plasmid:10501,PLASMID,ACLAME
gene:plasmid:10502,IS,ACLAME
gene:plasmid:10533,PLASMID,ACLAME
gene:plasmid:10543,PLASMID,ACLAME
gene:plasmid:10565,AMR,ACLAME
gene:plasmid:10566,AMR,ACLAME
gene:plasmid:10570,AMR,ACLAME
gene:plasmid:10634,PLASMID,ACLAME
gene:plasmid:10636,PLASMID,ACLAME
gene:plasmid:10669,PLASMID,ACLAME
gene:plasmid:10673,PLASMID,ACLAME
gene:plasmid:10686,PLASMID,ACLAME
gene:plasmid:10692,PLASMID,ACLAME
gene:plasmid:10697,PLASMID,ACLAME
gene:plasmid:10728,PLASMID,ACLAME
gene:plasmid:10729,PLASMID,ACLAME
gene:plasmid:10730,PLASMID,ACLAME
gene:plasmid:10731,PLASMID,ACLAME
gene:plasmid:10754,PLASMID,ACLAME
gene:plasmid:10797,PLASMID,ACLAME
gene:plasmid:10837,PLASMID,ACLAME
gene:plasmid:10838,PLASMID,ACLAME
gene:plasmid:10902,PLASMID,ACLAME
gene:plasmid:10903,PLASMID,ACLAME
gene:plasmid:10904,PLASMID,ACLAME
gene:plasmid:109133,PLASMID,ACLAME
gene:plasmid:109146,PLASMID,ACLAME
gene:plasmid:109147,PLASMID,ACLAME
gene:plasmid:109210,IS,ACLAME
gene:plasmid:109211,IS,ACLAME
gene:plasmid:109289,TE,ACLAME
gene:plasmid:109300,PLASMID,ACLAME
gene:plasmid:109301,PLASMID,ACLAME
gene:plasmid:109319,PLASMID,ACLAME
gene:plasmid:10932,PLASMID,ACLAME
gene:plasmid:109325,PLASMID,ACLAME
gene:plasmid:109334,PLASMID,ACLAME
gene:plasmid:109340,PLASMID,ACLAME
gene:plasmid:109341,PLASMID,ACLAME
gene:plasmid:109342,PLASMID,ACLAME
gene:plasmid:109343,PLASMID,ACLAME
gene:plasmid:109344,PLASMID,ACLAME
gene:plasmid:109346,PLASMID,ACLAME
gene:plasmid:109347,PLASMID,ACLAME
gene:plasmid:109348,PLASMID,ACLAME
gene:plasmid:109349,PLASMID,ACLAME
gene:plasmid:109350,PLASMID,ACLAME
gene:plasmid:109351,PLASMID,ACLAME
gene:plasmid:109353,PLASMID,ACLAME
gene:plasmid:109354,PLASMID,ACLAME
gene:plasmid:109355,PLASMID,ACLAME
gene:plasmid:109356,PLASMID,ACLAME
gene:plasmid:109360,PLASMID,ACLAME
gene:plasmid:109361,PLASMID,ACLAME
gene:plasmid:109369,PLASMID,ACLAME
gene:plasmid:10937,PLASMID,ACLAME
gene:plasmid:109371,PLASMID,ACLAME
gene:plasmid:109372,PLASMID,ACLAME
gene:plasmid:109377,PLASMID,ACLAME
gene:plasmid:109378,PLASMID,ACLAME
gene:plasmid:109379,PLASMID,ACLAME
gene:plasmid:109382,PLASMID,ACLAME
gene:plasmid:109383,PLASMID,ACLAME
gene:plasmid:109385,PLASMID,ACLAME
gene:plasmid:109387,PLASMID,ACLAME
gene:plasmid:109388,PLASMID,ACLAME
gene:plasmid:109391,PLASMID,ACLAME
gene:plasmid:109392,PLASMID,ACLAME
gene:plasmid:109393,PLASMID,ACLAME
gene:plasmid:109394,PLASMID,ACLAME
gene:plasmid:109395,PLASMID,ACLAME
gene:plasmid:109396,PLASMID,ACLAME
gene:plasmid:109397,PLASMID,ACLAME
gene:plasmid:109400,PLASMID,ACLAME
gene:plasmid:109401,PLASMID,ACLAME
gene:plasmid:109402,PLASMID,ACLAME
gene:plasmid:109403,PLASMID,ACLAME
gene:plasmid:109405,PLASMID,ACLAME
gene:plasmid:109406,PLASMID,ACLAME
gene:plasmid:109407,PLASMID,ACLAME
gene:plasmid:109408,PLASMID,ACLAME
gene:plasmid:109409,PLASMID,ACLAME
gene:plasmid:109411,PLASMID,ACLAME
gene:plasmid:109413,PLASMID,ACLAME
gene:plasmid:109414,PLASMID,ACLAME
gene:plasmid:109415,PLASMID,ACLAME
gene:plasmid:109441,PLASMID,ACLAME
gene:plasmid:109452,PLASMID,ACLAME
gene:plasmid:109458,TE,ACLAME
gene:plasmid:109460,TE,ACLAME
gene:plasmid:10965,PLASMID,ACLAME
gene:plasmid:109665,PLASMID,ACLAME
gene:plasmid:109675,PLASMID,ACLAME
gene:plasmid:109677,PLASMID,ACLAME
gene:plasmid:109681,PLASMID,ACLAME
gene:plasmid:109683,PLASMID,ACLAME
gene:plasmid:109684,PLASMID,ACLAME
gene:plasmid:109688,PLASMID,ACLAME
gene:plasmid:109691,PLASMID,ACLAME
gene:plasmid:109692,PLASMID,ACLAME
gene:plasmid:109694,PLASMID,ACLAME
gene:plasmid:109699,PLASMID,ACLAME
gene:plasmid:109701,PLASMID,ACLAME
gene:plasmid:109702,PLASMID,ACLAME
gene:plasmid:109703,PLASMID,ACLAME
gene:plasmid:109704,PLASMID,ACLAME
gene:plasmid:109705,PLASMID,ACLAME
gene:plasmid:109708,PLASMID,ACLAME
gene:plasmid:109710,PLASMID,ACLAME
gene:plasmid:109711,PLASMID,ACLAME
gene:plasmid:109713,PLASMID,ACLAME
gene:plasmid:109714,PLASMID,ACLAME
gene:plasmid:109715,PLASMID,ACLAME
gene:plasmid:109720,PLASMID,ACLAME
gene:plasmid:109721,PLASMID,ACLAME
gene:plasmid:109724,PLASMID,ACLAME
gene:plasmid:109728,PLASMID,ACLAME
gene:plasmid:109730,PLASMID,ACLAME
gene:plasmid:109731,PLASMID,ACLAME
gene:plasmid:109732,PLASMID,ACLAME
gene:plasmid:109734,PLASMID,ACLAME
gene:plasmid:109738,PLASMID,ACLAME
gene:plasmid:109743,PLASMID,ACLAME
gene:plasmid:109744,PLASMID,ACLAME
gene:plasmid:109745,PLASMID,ACLAME
gene:plasmid:109747,PLASMID,ACLAME
gene:plasmid:109749,PLASMID,ACLAME
gene:plasmid:109750,PLASMID,ACLAME
gene:plasmid:109753,PLASMID,ACLAME
gene:plasmid:109760,PLASMID,ACLAME
gene:plasmid:109761,PLASMID,ACLAME
gene:plasmid:109762,PLASMID,ACLAME
gene:plasmid:109763,PLASMID,ACLAME
gene:plasmid:109769,PLASMID,ACLAME
gene:plasmid:109775,PLASMID,ACLAME
gene:plasmid:109777,PLASMID,ACLAME
gene:plasmid:109782,PLASMID,ACLAME
gene:plasmid:109788,PLASMID,ACLAME
gene:plasmid:109789,PLASMID,ACLAME
gene:plasmid:109790,PLASMID,ACLAME
gene:plasmid:109792,PLASMID,ACLAME
gene:plasmid:109793,PLASMID,ACLAME
gene:plasmid:109795,PLASMID,ACLAME
gene:plasmid:109796,PLASMID,ACLAME
gene:plasmid:109798,PLASMID,ACLAME
gene:plasmid:109799,PLASMID,ACLAME
gene:plasmid:109800,PLASMID,ACLAME
gene:plasmid:109801,PLASMID,ACLAME
gene:plasmid:109803,PLASMID,ACLAME
gene:plasmid:109805,PLASMID,ACLAME
gene:plasmid:109807,PLASMID,ACLAME
gene:plasmid:109810,PLASMID,ACLAME
gene:plasmid:109811,PLASMID,ACLAME
gene:plasmid:109812,PLASMID,ACLAME
gene:plasmid:109814,PLASMID,ACLAME
gene:plasmid:109816,PLASMID,ACLAME
gene:plasmid:109818,PLASMID,ACLAME
gene:plasmid:109822,IS,ACLAME
gene:plasmid:109823,PLASMID,ACLAME
gene:plasmid:109824,PLASMID,ACLAME
gene:plasmid:109827,PLASMID,ACLAME
gene:plasmid:109829,PLASMID,ACLAME
gene:plasmid:109830,PLASMID,ACLAME
gene:plasmid:109833,PLASMID,ACLAME
gene:plasmid:109836,PLASMID,ACLAME
gene:plasmid:109837,PLASMID,ACLAME
gene:plasmid:109838,PLASMID,ACLAME
gene:plasmid:109839,PLASMID,ACLAME
gene:plasmid:109842,PLASMID,ACLAME
gene:plasmid:109843,PLASMID,ACLAME
gene:plasmid:109847,PLASMID,ACLAME
gene:plasmid:109848,PLASMID,ACLAME
gene:plasmid:109849,PLASMID,ACLAME
gene:plasmid:109850,IS,ACLAME
gene:plasmid:109852,IS,ACLAME
gene:plasmid:109853,PLASMID,ACLAME
gene:plasmid:109856,PLASMID,ACLAME
gene:plasmid:109857,PLASMID,ACLAME
gene:plasmid:109861,PLASMID,ACLAME
gene:plasmid:109862,PLASMID,ACLAME
gene:plasmid:109865,PLASMID,ACLAME
gene:plasmid:109868,PLASMID,ACLAME
gene:plasmid:109875,PLASMID,ACLAME
gene:plasmid:109879,PLASMID,ACLAME
gene:plasmid:109880,PLASMID,ACLAME
gene:plasmid:109882,PLASMID,ACLAME
gene:plasmid:109883,PLASMID,ACLAME
gene:plasmid:109884,PLASMID,ACLAME
gene:plasmid:109886,PLASMID,ACLAME
gene:plasmid:109890,PLASMID,ACLAME
gene:plasmid:109891,PLASMID,ACLAME
gene:plasmid:109894,PLASMID,ACLAME
gene:plasmid:109897,PLASMID,ACLAME
gene:plasmid:109898,PLASMID,ACLAME
gene:plasmid:109899,PLASMID,ACLAME
gene:plasmid:109900,PLASMID,ACLAME
gene:plasmid:109902,PLASMID,ACLAME
gene:plasmid:109903,PLASMID,ACLAME
gene:plasmid:109905,PLASMID,ACLAME
gene:plasmid:109908,PLASMID,ACLAME
gene:plasmid:109909,PLASMID,ACLAME
gene:plasmid:109910,PLASMID,ACLAME
gene:plasmid:109912,PLASMID,ACLAME
gene:plasmid:109913,PLASMID,ACLAME
gene:plasmid:109916,PLASMID,ACLAME
gene:plasmid:109917,PLASMID,ACLAME
gene:plasmid:109920,PLASMID,ACLAME
gene:plasmid:109921,PLASMID,ACLAME
gene:plasmid:109922,PLASMID,ACLAME
gene:plasmid:109925,PLASMID,ACLAME
gene:plasmid:109928,PLASMID,ACLAME
gene:plasmid:109932,PLASMID,ACLAME
gene:plasmid:109935,PLASMID,ACLAME
gene:plasmid:109939,PLASMID,ACLAME
gene:plasmid:109940,PLASMID,ACLAME
gene:plasmid:109941,PLASMID,ACLAME
gene:plasmid:109943,VIRUS,ACLAME
gene:plasmid:109948,PLASMID,ACLAME
gene:plasmid:109951,PLASMID,ACLAME
gene:plasmid:109953,PLASMID,ACLAME
gene:plasmid:109956,PLASMID,ACLAME
gene:plasmid:109957,PLASMID,ACLAME
gene:plasmid:109958,PLASMID,ACLAME
gene:plasmid:109959,PLASMID,ACLAME
gene:plasmid:109963,PLASMID,ACLAME
gene:plasmid:109965,PLASMID,ACLAME
gene:plasmid:109967,PLASMID,ACLAME
gene:plasmid:109969,PLASMID,ACLAME
gene:plasmid:110033,PLASMID,ACLAME
gene:plasmid:110063,PLASMID,ACLAME
gene:plasmid:110064,PLASMID,ACLAME
gene:plasmid:110081,PLASMID,ACLAME
gene:plasmid:110130,PLASMID,ACLAME
gene:plasmid:110137,PLASMID,ACLAME
gene:plasmid:110138,PLASMID,ACLAME
gene:plasmid:110139,PLASMID,ACLAME
gene:plasmid:110145,PLASMID,ACLAME
gene:plasmid:110159,PLASMID,ACLAME
gene:plasmid:110163,PLASMID,ACLAME
gene:plasmid:110183,PLASMID,ACLAME
gene:plasmid:110188,PLASMID,ACLAME
gene:plasmid:110205,PLASMID,ACLAME
gene:plasmid:11021,PLASMID,ACLAME
gene:plasmid:110220,PLASMID,ACLAME
gene:plasmid:110239,PLASMID,ACLAME
gene:plasmid:110240,PLASMID,ACLAME
gene:plasmid:110258,PLASMID,ACLAME
gene:plasmid:110259,PLASMID,ACLAME
gene:plasmid:11026,PLASMID,ACLAME
gene:plasmid:11029,PLASMID,ACLAME
gene:plasmid:110291,PLASMID,ACLAME
gene:plasmid:110303,PLASMID,ACLAME
gene:plasmid:110359,IS,ACLAME
gene:plasmid:110360,IS,ACLAME
gene:plasmid:110362,PLASMID,ACLAME
gene:plasmid:110369,PLASMID,ACLAME
gene:plasmid:110372,IS,ACLAME
gene:plasmid:110373,IS,ACLAME
gene:plasmid:110374,PLASMID,ACLAME
gene:plasmid:110376,PLASMID,ACLAME
gene:plasmid:110382,IS,ACLAME
gene:plasmid:110384,PLASMID,ACLAME
gene:plasmid:110388,TE,ACLAME
gene:plasmid:110391,PLASMID,ACLAME
gene:plasmid:110396,PLASMID,ACLAME
gene:plasmid:110399,PLASMID,ACLAME
gene:plasmid:110400,PLASMID,ACLAME
gene:plasmid:110401,PLASMID,ACLAME
gene:plasmid:110402,PLASMID,ACLAME
gene:plasmid:110411,PLASMID,ACLAME
gene:plasmid:110412,PLASMID,ACLAME
gene:plasmid:110414,PLASMID,ACLAME
gene:plasmid:110415,IS,ACLAME
gene:plasmid:110416,IS,ACLAME
gene:plasmid:11042,PROPHAGE,ACLAME
gene:plasmid:110437,PLASMID,ACLAME
gene:plasmid:110439,PLASMID,ACLAME
